event_id,node_id,source_name,source_tier_nominal,source_tier_actual,layer,file_stage,start_utc,end_utc,file_path,row_count,sha256,url_or_query,created_utc,downloaded_at_utc,notes
usdc_svb_2023,usdc_coinbase,silver_reconstruction_from_books,A,B,CEX,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/usdc_coinbase_books.parquet,18717,ae0a69b844e632cb461fd0f0c2570ecd9611e9735e74092591790e1fee035cb1,data/bronze/usdc_svb_2023/usdc_coinbase_books.parquet,2026-05-28T11:41:00.770217+00:00,2026-05-28T11:41:00.770217+00:00,Standardized silver output from usdc_coinbase_books.parquet.
usdc_svb_2023,usdc_binance,silver_reconstruction_from_books,A,B,CEX,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/usdc_binance_books.parquet,13560,288e7cf803b198f7a2b237b670b8206caffe2ee584e1bde7f0766585973e0bee,data/bronze/usdc_svb_2023/usdc_binance_books.parquet,2026-05-28T11:41:00.784614+00:00,2026-05-28T11:41:00.784614+00:00,Standardized silver output from usdc_binance_books.parquet.
usdc_svb_2023,usdt_binance,silver_reconstruction_from_books,A,B,CEX,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/usdt_binance_books.parquet,13560,288e7cf803b198f7a2b237b670b8206caffe2ee584e1bde7f0766585973e0bee,data/bronze/usdc_svb_2023/usdt_binance_books.parquet,2026-05-28T11:41:00.796405+00:00,2026-05-28T11:41:00.796405+00:00,Standardized silver output from usdt_binance_books.parquet.
usdc_svb_2023,usdt_kraken,silver_reconstruction_from_books,A,fixture_non_empirical,CEX,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/usdt_kraken_books.parquet,864,f7d3d4e0db559055b51e5827dedb84821b8bb222df71fa7a90b3dcfede72bcdd,data/bronze/usdc_svb_2023/usdt_kraken_books.parquet,2026-05-28T11:41:00.800676+00:00,2026-05-28T11:41:00.800676+00:00,Standardized silver output from usdt_kraken_books.parquet.
usdc_svb_2023,usdc_kraken,silver_reconstruction_from_books,A,fixture_non_empirical,CEX,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/usdc_kraken_books.parquet,864,89d7ef4e58f068df4e9539aefbf4d0837442e3c1970b1bfd45ed398487241e80,data/bronze/usdc_svb_2023/usdc_kraken_books.parquet,2026-05-28T11:41:00.803952+00:00,2026-05-28T11:41:00.803952+00:00,Standardized silver output from usdc_kraken_books.parquet.
usdc_svb_2023,curve_3pool,silver_reconstruction_from_pool_states,A,B,DEX,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/curve_3pool_pool_states.parquet,312,ac6e315a6750c52e9b860dbe63a930a3d2222f5058aa2db6c9374cd31e171216,data/bronze/usdc_svb_2023/curve_3pool_pool_events.parquet,2026-05-28T11:41:00.808642+00:00,2026-05-28T11:41:00.808642+00:00,Standardized silver output from curve_3pool_pool_events.parquet.
usdc_svb_2023,uniswap_usdc_usdt_005,silver_reconstruction_from_pool_states,A,fixture_non_empirical,DEX,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/uniswap_usdc_usdt_005_pool_states.parquet,864,adb43ecc6c799a920d895c3ffb4e82232f0f697a1afa495de680edab684e2588,data/bronze/usdc_svb_2023/uniswap_usdc_usdt_005_pool_events.parquet,2026-05-28T11:41:00.811577+00:00,2026-05-28T11:41:00.811577+00:00,Standardized silver output from uniswap_usdc_usdt_005_pool_events.parquet.
usdc_svb_2023,eth_usdc_exchange_flows,silver_reconstruction_from_flows,B,B,onchain_flow,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/eth_usdc_exchange_flows_flows.parquet,313,9c71dd240238ee4c052e91746c5f2ede7cf5c00f5edd9c0b044b09ab9b423d22,data/bronze/usdc_svb_2023/eth_usdc_exchange_flows_flows.parquet,2026-05-28T11:41:00.814117+00:00,2026-05-28T11:41:00.814117+00:00,Standardized silver output from eth_usdc_exchange_flows_flows.parquet.
usdc_svb_2023,eth_usdt_exchange_flows,silver_reconstruction_from_flows,B,B,onchain_flow,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/eth_usdt_exchange_flows_flows.parquet,240,fbe6aeceb8bd98cb73dd41c5e723b23d4ab9bacb11b3001fab27bdf82df4c440,data/bronze/usdc_svb_2023/eth_usdt_exchange_flows_flows.parquet,2026-05-28T11:41:00.816461+00:00,2026-05-28T11:41:00.816461+00:00,Standardized silver output from eth_usdt_exchange_flows_flows.parquet.
usdc_svb_2023,eth_bridge_flows,silver_reconstruction_from_flows,B,fixture_non_empirical,bridge_flow,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/eth_bridge_flows_flows.parquet,72,a1ff05ba9ef73926d162287330d8d8c77867e85f5f5746ba809dca730697da5f,data/bronze/usdc_svb_2023/eth_bridge_flows_flows.parquet,2026-05-28T11:41:00.819627+00:00,2026-05-28T11:41:00.819627+00:00,Standardized silver output from eth_bridge_flows_flows.parquet.
usdc_svb_2023,usdc_mint_burn,silver_reconstruction_from_flows,A,A,mint_burn,silver,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/silver/usdc_svb_2023/usdc_mint_burn_flows.parquet,4,2aab51225988fb1b0eb9538f1611fe5ab0b186e1aa34cc16c48b3201dc7c5046,data/bronze/usdc_svb_2023/usdc_mint_burn_flows.parquet,2026-05-28T11:41:00.821927+00:00,2026-05-28T11:41:00.821927+00:00,Standardized silver output from usdc_mint_burn_flows.parquet.
usdc_svb_2023,__event_panel__,gold_panel_builder,mixed,fixture_non_empirical,gold_panel,gold,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,data/gold/dataset_contagion_features_usdc_svb_2023.parquet,49370,032314c58b015655c696f6471570de5cbf2bc4416b39de49552f6f80cd46a50f,silver://event_nodes,2026-05-28T11:41:01.042048+00:00,2026-05-28T11:41:01.042048+00:00,Gold event feature panel assembled from silver node states.
