causing_node,caused_node,f_stat,p_value,significant_p05,p_value_fdr,significant_fdr,p_bonferroni,significant_bonferroni,feature_col,bucket_seconds
ust_binance,usdt_binance,9.350431416727927,0.002333902055997095,true,0.00466780411199419,true,0.00466780411199419,true,basis_vs_usd,3600
usdt_binance,ust_binance,0.9193037309788678,0.33806436421292874,false,0.33806436421292874,false,0.6761287284258575,false,basis_vs_usd,3600
