event,feature_set,model,auroc,auroc_sd,lift_vs_market
ftx_2022,oc_slip,GBM,0.86,0.0083,-0.1175
ftx_2022,oc_flow,LR,0.4795,0.0157,-0.4356
ftx_2022,oc_flow,RF,0.4524,0.0187,-0.5223
ftx_2022,oc_flow,GBM,0.4817,0.0338,-0.4958
ftx_2022,both_minus_pxdev,LR,0.9329,0.0023,0.0178
ftx_2022,both_minus_pxdev,RF,0.9942,0.0021,0.0195
ftx_2022,both_minus_pxdev,GBM,0.9939,0.0021,0.0164
ftx_2022,both_minus_imb,LR,0.939,0.0024,0.0239
ftx_2022,both_minus_imb,RF,0.9942,0.0021,0.0195
ftx_2022,both_minus_imb,GBM,0.9939,0.0021,0.0164
ftx_2022,both_minus_slip,LR,0.939,0.0024,0.0239
ftx_2022,both_minus_slip,RF,0.9942,0.0021,0.0195
ftx_2022,both_minus_slip,GBM,0.9939,0.0021,0.0164
ftx_2022,both_minus_flow,LR,0.9407,0.0022,0.0256
ftx_2022,both_minus_flow,RF,0.9952,0.0028,0.0205
ftx_2022,both_minus_flow,GBM,0.9938,0.0026,0.0163
busd_2023,market,LR,0.8382,0.0104,0.0
busd_2023,market,RF,0.9615,0.0038,0.0
busd_2023,market,GBM,0.9683,0.0041,0.0
busd_2023,onchain,LR,0.6773,0.0018,-0.1609
busd_2023,onchain,RF,0.6929,0.0195,-0.2685
busd_2023,onchain,GBM,0.7324,0.0112,-0.2359
busd_2023,both,LR,0.8622,0.0053,0.024
busd_2023,both,RF,0.9827,0.0077,0.0212
busd_2023,both,GBM,0.9853,0.0033,0.017
busd_2023,oc_pxdev,LR,0.5284,0.0024,-0.3098
busd_2023,oc_pxdev,RF,0.5939,0.017,-0.3676
busd_2023,oc_pxdev,GBM,0.6253,0.0128,-0.343
busd_2023,oc_imb,LR,0.5284,0.0024,-0.3098
busd_2023,oc_imb,RF,0.5923,0.0163,-0.3691
busd_2023,oc_imb,GBM,0.6253,0.0128,-0.343
busd_2023,oc_slip,LR,0.5284,0.0024,-0.3098
busd_2023,oc_slip,RF,0.5923,0.0163,-0.3691
busd_2023,oc_slip,GBM,0.6253,0.0128,-0.343
busd_2023,oc_flow,LR,0.7011,0.0028,-0.137
busd_2023,oc_flow,RF,0.6609,0.0277,-0.3006
busd_2023,oc_flow,GBM,0.6766,0.0141,-0.2918
busd_2023,both_minus_pxdev,LR,0.8626,0.0055,0.0244
busd_2023,both_minus_pxdev,RF,0.9812,0.0065,0.0198
busd_2023,both_minus_pxdev,GBM,0.9853,0.0033,0.017
busd_2023,both_minus_imb,LR,0.8587,0.0056,0.0206
busd_2023,both_minus_imb,RF,0.9812,0.0065,0.0198
busd_2023,both_minus_imb,GBM,0.9853,0.0033,0.017
busd_2023,both_minus_slip,LR,0.8587,0.0056,0.0206
busd_2023,both_minus_slip,RF,0.9812,0.0065,0.0198
busd_2023,both_minus_slip,GBM,0.9853,0.0033,0.017
busd_2023,both_minus_flow,LR,0.8648,0.0059,0.0267
busd_2023,both_minus_flow,RF,0.9783,0.0075,0.0168
busd_2023,both_minus_flow,GBM,0.9859,0.0022,0.0176
usdc_svb_2023,market,LR,0.8762,0.002,0.0
usdc_svb_2023,market,RF,0.9263,0.012,0.0
usdc_svb_2023,market,GBM,0.9378,0.0113,0.0
usdc_svb_2023,onchain,LR,0.9071,0.0017,0.0308
usdc_svb_2023,onchain,RF,0.9086,0.0094,-0.0177
usdc_svb_2023,onchain,GBM,0.9201,0.0031,-0.0177
usdc_svb_2023,both,LR,0.9605,0.0012,0.0843
usdc_svb_2023,both,RF,0.9712,0.0083,0.045
usdc_svb_2023,both,GBM,0.9673,0.005,0.0295
