event_id,n_test,test_prev,auroc_baseline,auroc_onchain,auroc_lift,ap_baseline,ap_onchain,ap_lift
terra_luna_2022,20286,0.8442,0.5002,0.4847,-0.0154,0.8443,0.8404,-0.0039
busd_2023,15534,0.2874,0.9961,0.9997,0.0036,0.9955,0.9993,0.0038
