caused_node,causing_node,fevd_share,horizon,method
usdc_binance,usdc_mint_burn,0.15435952254216126,10,var_abscoef_fallback
usdc_binance,usdt_binance,0.15373386407626793,10,var_abscoef_fallback
usdc_binance,usdt_kraken,0.1559210070503842,10,var_abscoef_fallback
usdc_coinbase,curve_3pool,0.02848445994071229,10,var_abscoef_fallback
usdc_coinbase,eth_bridge_flows,0.04392212996319079,10,var_abscoef_fallback
usdc_coinbase,eth_usdc_exchange_flows,0.2249451694298648,10,var_abscoef_fallback
usdc_coinbase,eth_usdt_exchange_flows,0.15678327966464772,10,var_abscoef_fallback
usdc_coinbase,uniswap_usdc_usdt_005,0.028486682847320782,10,var_abscoef_fallback
usdc_coinbase,usdc_binance,0.015558706923783788,10,var_abscoef_fallback
usdc_coinbase,usdc_coinbase,0.011531842477517998,10,var_abscoef_fallback
usdc_coinbase,usdc_kraken,0.01697845086605446,10,var_abscoef_fallback
usdc_coinbase,usdc_mint_burn,0.15678329399990645,10,var_abscoef_fallback
usdc_coinbase,usdt_binance,0.14553440215074193,10,var_abscoef_fallback
usdc_coinbase,usdt_kraken,0.17099158173625792,10,var_abscoef_fallback
usdc_kraken,curve_3pool,0.02632075605698449,10,var_abscoef_fallback
usdc_kraken,eth_bridge_flows,0.05158703239081884,10,var_abscoef_fallback
usdc_kraken,eth_usdc_exchange_flows,0.21825145317604605,10,var_abscoef_fallback
usdc_kraken,eth_usdt_exchange_flows,0.17029345712858146,10,var_abscoef_fallback
usdc_kraken,uniswap_usdc_usdt_005,0.026323735340984946,10,var_abscoef_fallback
usdc_kraken,usdc_binance,0.02711518459638407,10,var_abscoef_fallback
usdc_kraken,usdc_coinbase,0.01045957397522478,10,var_abscoef_fallback
usdc_kraken,usdc_kraken,0.030802024615814157,10,var_abscoef_fallback
usdc_kraken,usdc_mint_burn,0.1702934801163045,10,var_abscoef_fallback
usdc_kraken,usdt_binance,0.1396052079817552,10,var_abscoef_fallback
usdc_kraken,usdt_kraken,0.12894809462110032,10,var_abscoef_fallback
usdc_mint_burn,curve_3pool,2.084708198334314e-7,10,var_abscoef_fallback
usdc_mint_burn,eth_bridge_flows,1.5465849720793323e-7,10,var_abscoef_fallback
usdc_mint_burn,eth_usdc_exchange_flows,0.9999939636353955,10,var_abscoef_fallback
usdc_mint_burn,eth_usdt_exchange_flows,9.766762243359858e-7,10,var_abscoef_fallback
usdc_mint_burn,uniswap_usdc_usdt_005,2.0842920821917828e-7,10,var_abscoef_fallback
usdc_mint_burn,usdc_binance,5.351233759803421e-7,10,var_abscoef_fallback
usdc_mint_burn,usdc_coinbase,6.928644206712288e-8,10,var_abscoef_fallback
usdc_mint_burn,usdc_kraken,5.614244524981733e-7,10,var_abscoef_fallback
usdc_mint_burn,usdc_mint_burn,9.268416613015402e-7,10,var_abscoef_fallback
usdc_mint_burn,usdt_binance,1.1851998543887502e-6,10,var_abscoef_fallback
usdc_mint_burn,usdt_kraken,1.2102530686405937e-6,10,var_abscoef_fallback
usdt_binance,curve_3pool,0.05641730797200406,10,var_abscoef_fallback
usdt_binance,eth_bridge_flows,0.048347963560290995,10,var_abscoef_fallback
usdt_binance,eth_usdc_exchange_flows,0.13474373409817417,10,var_abscoef_fallback
usdt_binance,eth_usdt_exchange_flows,0.104505457729311,10,var_abscoef_fallback
usdt_binance,uniswap_usdc_usdt_005,0.05637652098675171,10,var_abscoef_fallback
usdt_binance,usdc_binance,0.03454749603805376,10,var_abscoef_fallback
usdt_binance,usdc_coinbase,0.013483920441311036,10,var_abscoef_fallback
usdt_binance,usdc_kraken,0.04399418104470359,10,var_abscoef_fallback
usdt_binance,usdc_mint_burn,0.1045054601206658,10,var_abscoef_fallback
usdt_binance,usdt_binance,0.18788607556352824,10,var_abscoef_fallback
usdt_binance,usdt_kraken,0.2151918824452044,10,var_abscoef_fallback
