node_id,out_degree_w,in_degree_w,eigenvector,betweenness,role,event_id
curve_ust_wormhole,0.6387971437259414,0.0,-0.0,0.0,originator,terra_luna_2022
curve_3pool,0.20408295646943672,0.0,-0.0,0.0,originator,terra_luna_2022
ust_binance,0.016899583833956927,0.5410359225935215,0.7000815594808923,0.0,sink,terra_luna_2022
usdt_binance,0.01624427602650419,0.3349880374623178,0.7140628894395801,0.3333333333333333,sink,terra_luna_2022
