table,event_id,status,rows,blocked_rows,fixture_or_missing_rows,claimable_rows,paper_claimable_rows
table_granger_ftx_2022.csv,ftx_2022,annotated,2,0,0,2,2
table_leadlag_tests_ftx_2022.csv,ftx_2022,annotated,2,0,0,2,0
table_transfer_entropy_ftx_2022.csv,ftx_2022,annotated,30,10,10,20,17
table_tvp_var_spillovers_ftx_2022.csv,ftx_2022,annotated,207,0,0,207,0
table_tvp_var_summary_ftx_2022.csv,ftx_2022,annotated,6,0,0,6,0
table_var_spillovers_ftx_2022.csv,ftx_2022,annotated,4,0,0,4,0
