event_id,node_id,layer,tier_nominal,tier_actual,rows_available,artefact_count,stages,sources,missing
busd_2023,busd_binance,CEX,A,B,103680,2,bronze;silver,real_Binance_tier_B;silver_reconstruction_from_books,false
busd_2023,usdc_binance,CEX,A,B,6960,2,bronze;silver,real_Binance_tier_B;silver_reconstruction_from_books,false
busd_2023,usdt_binance,CEX,A,B,6960,2,bronze;silver,real_Binance_tier_B;silver_reconstruction_from_books,false
busd_2023,curve_3pool,DEX,A,fixture_non_empirical,1728,2,bronze;silver,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,false
