causing_node,caused_node,f_stat,p_value,significant_p05,p_value_fdr,significant_fdr,p_bonferroni,significant_bonferroni,feature_col,bucket_seconds,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,feature_tier,provenance_claim_allowed,claim_allowed,claim_level,claim_language,claim_reason,claim_sentence,statistical_claim_allowed,paper_claim_allowed,claim_strength,window_start_override,window_end_override,sub_window
usdc_binance,usdc_coinbase,12.412970233391155,5.706312967671296e-6,true,0.000011412625935342591,true,0.000011412625935342591,true,basis_vs_usd,3600,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between usdc_binance and usdc_coinbase (Tier B proxy data).,true,true,statistically_supported,,, [full]
usdc_coinbase,usdc_binance,3.9543294819698125,0.019859888977739205,true,0.019859888977739205,true,0.03971977795547841,true,basis_vs_usd,3600,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between usdc_coinbase and usdc_binance (Tier B proxy data).,true,true,statistically_supported,,, [full]
