table,event_id,status,rows,blocked_rows,fixture_or_missing_rows,claimable_rows,paper_claimable_rows
table_granger_usdc_svb_2023.csv,usdc_svb_2023,annotated,2,0,0,2,2
table_leadlag_tests_usdc_svb_2023.csv,usdc_svb_2023,annotated,78,52,52,26,6
table_sparse_events_usdc_svb_2023.csv,usdc_svb_2023,annotated,6,0,0,6,0
table_transfer_entropy_usdc_svb_2023.csv,usdc_svb_2023,annotated,78,52,52,26,17
table_tvp_var_spillovers_usdc_svb_2023.csv,usdc_svb_2023,annotated,80,0,0,80,0
table_tvp_var_summary_usdc_svb_2023.csv,usdc_svb_2023,annotated,12,0,0,12,0
table_var_spillovers_usdc_svb_2023.csv,usdc_svb_2023,annotated,4,0,0,4,0
