node_i,node_j,peak_lag_steps,peak_corr,p_value,significant_p01,p_value_fdr,significant_fdr,check,event_id
usdt_binance,tron_usdt_exchange_flows,31,-0.9598665292559911,1.0,false,1.0,false,block_50,usdt_curve_2023
usdt_binance,usdt_mint_burn,31,-0.9580120130370718,1.0,false,1.0,false,block_50,usdt_curve_2023
usdt_kraken,usdt_binance,-41,0.49362359719141735,0.025,false,0.07,false,block_50,usdt_curve_2023
usdt_kraken,curve_3pool,-23,-0.9150640918269919,1.0,false,1.0,false,block_50,usdt_curve_2023
usdt_kraken,uniswap_usdc_usdt_005,-1,0.991342285637312,0.0,true,0.0,true,block_50,usdt_curve_2023
usdt_kraken,curve_crvusd_usdt,-53,-0.9021810486111741,1.0,false,1.0,false,block_50,usdt_curve_2023
usdt_kraken,tron_usdt_exchange_flows,5,0.9921637416385805,0.005,true,0.017499999999999998,true,block_50,usdt_curve_2023
usdt_kraken,usdt_mint_burn,4,0.9921678465602984,0.0,true,0.0,true,block_50,usdt_curve_2023
curve_3pool,usdt_binance,1,-0.4455943930050632,0.055,false,0.12157894736842105,false,block_50,usdt_curve_2023
curve_3pool,usdt_kraken,23,-0.9150640918269918,1.0,false,1.0,false,block_50,usdt_curve_2023
curve_3pool,uniswap_usdc_usdt_005,22,-0.9276878572755863,1.0,false,1.0,false,block_50,usdt_curve_2023
curve_3pool,curve_crvusd_usdt,-36,0.3263705906620653,0.3,false,0.6,false,block_50,usdt_curve_2023
curve_3pool,tron_usdt_exchange_flows,27,-0.9276337523656145,1.0,false,1.0,false,block_50,usdt_curve_2023
curve_3pool,usdt_mint_burn,26,-0.9289095112580884,1.0,false,1.0,false,block_50,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_binance,-52,0.48978850096198917,0.025,false,0.07,false,block_50,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_kraken,1,0.991342285637312,0.0,true,0.0,true,block_50,usdt_curve_2023
uniswap_usdc_usdt_005,curve_3pool,-22,-0.9276878572755862,1.0,false,1.0,false,block_50,usdt_curve_2023
uniswap_usdc_usdt_005,curve_crvusd_usdt,-52,0.9095433972824674,1.0,false,1.0,false,block_50,usdt_curve_2023
uniswap_usdc_usdt_005,tron_usdt_exchange_flows,5,0.9996649555941155,0.0,true,0.0,true,block_50,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_mint_burn,4,0.9996554507467164,0.0,true,0.0,true,block_50,usdt_curve_2023
curve_crvusd_usdt,usdt_binance,1,-0.6329829673329966,0.03,false,0.07411764705882352,false,block_50,usdt_curve_2023
curve_crvusd_usdt,usdt_kraken,53,-0.902181048611174,1.0,false,1.0,false,block_50,usdt_curve_2023
curve_crvusd_usdt,curve_3pool,36,0.3263705906620653,0.335,false,0.6395454545454545,false,block_50,usdt_curve_2023
