node_i,node_j,feature_col,grid_seconds,te_i_to_j,p_value,p_value_block,significant_p05,p_value_fdr,significant_fdr,p_value_block_fdr,significant_block_fdr,p_bonferroni,significant_bonferroni,te_estimator,event_id,event_phase
usdt_binance,eth_usdt_exchange_flows,basis_vs_usd,60,0.32283947973988236,0.66,0.0,false,0.88,false,0.0,true,1.0,false,binned_discrete,usdt_curve_2023,all
usdt_binance,usdt_mint_burn,basis_vs_usd,60,0.31417497184938337,0.81,0.0,false,1.0,false,0.0,true,1.0,false,binned_discrete,usdt_curve_2023,all
usdt_binance,tron_usdt_exchange_flows,basis_vs_usd,60,0.2964499661175508,0.895,0.515,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
usdt_kraken,curve_3pool,basis_vs_usd,60,0.1909400121892918,0.0,0.975,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_kraken,curve_crvusd_usdt,basis_vs_usd,60,0.1909400121892918,0.0,0.975,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
uniswap_usdc_usdt_005,curve_3pool,basis_vs_usd,60,0.19089415308947022,0.0,0.96,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
uniswap_usdc_usdt_005,curve_crvusd_usdt,basis_vs_usd,60,0.19089415308947022,0.0,0.985,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
uniswap_usdc_usdt_005,usdt_kraken,basis_vs_usd,60,0.190175162918633,0.0,1.0,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
curve_3pool,usdt_kraken,basis_vs_usd,60,0.15967852279050487,0.0,1.0,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
curve_crvusd_usdt,usdt_kraken,basis_vs_usd,60,0.15967852279050487,0.0,1.0,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
curve_3pool,usdt_binance,basis_vs_usd,60,0.12845369155450237,0.0,0.105,true,0.0,true,0.27999999999999997,false,0.0,true,binned_discrete,usdt_curve_2023,all
curve_crvusd_usdt,usdt_binance,basis_vs_usd,60,0.12845369155450237,0.0,0.12,true,0.0,true,0.3054545454545454,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_binance,usdt_kraken,basis_vs_usd,60,0.11939644328690202,0.0,0.665,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_binance,curve_3pool,basis_vs_usd,60,0.11936254124502532,0.0,0.71,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_binance,curve_crvusd_usdt,basis_vs_usd,60,0.11936254124502532,0.0,0.73,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
uniswap_usdc_usdt_005,usdt_binance,basis_vs_usd,60,0.11507223265909294,0.0,0.355,true,0.0,true,0.8643478260869565,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_kraken,uniswap_usdc_usdt_005,basis_vs_usd,60,0.11185032102827852,0.0,1.0,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_binance,uniswap_usdc_usdt_005,basis_vs_usd,60,0.0988231769290635,0.0,0.94,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_kraken,usdt_binance,basis_vs_usd,60,0.08877432939671503,0.0,0.805,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
curve_3pool,uniswap_usdc_usdt_005,basis_vs_usd,60,0.036100327699087664,0.995,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
curve_crvusd_usdt,uniswap_usdc_usdt_005,basis_vs_usd,60,0.036100327699087664,1.0,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
curve_3pool,curve_crvusd_usdt,basis_vs_usd,60,0.0,1.0,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
curve_crvusd_usdt,curve_3pool,basis_vs_usd,60,0.0,1.0,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
