event_id,true_leadlag_sig_rate,placebo_leadlag_sig_rate,placebo_rows
usdc_svb_2023,0.23076923076923078,0.1794871794871795,78
terra_luna_2022,0.25,0.25,12
usdt_curve_2023,0.21428571428571427,0.21428571428571427,56
ftx_2022,0.16666666666666666,0.16666666666666666,30
busd_2023,0.75,0.75,8
