caused_node,causing_node,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows,method,event_id
usdt_binance,busd_binance,0.9882789756054834,0.9999283835595811,0.01666983318401502,23,tvp_var_rolling,ftx_2022
busd_binance,usdt_binance,0.02462891311438811,0.12631649456168365,0.033568267065761825,23,tvp_var_rolling,ftx_2022
