h,abs_flow,abs_basis,rolling_arb_r,phase
4,9205636.567842,0.000742,-0.1591,onset
5,15460684.259536,0.00147,0.7594,onset
6,10638416.716524,0.002335,0.6021,panic
7,4098448.952533,0.002568,0.0457,panic
8,2786902.402957,0.003301,-0.2069,panic
9,2441130.817317,0.003359,-0.7508,panic
10,1265847.587355,0.002486,-0.8252,panic
11,1896463.045162,0.001909,-0.2016,panic
12,2659012.618036,0.001959,0.1873,panic
13,216516.498621,0.002277,0.3648,panic
14,10429395.838614,0.001441,-0.5518,panic
15,1178849.403842,0.001086,-0.4136,panic
16,2133054.072,0.001133,-0.2457,panic
17,2005715.708069,0.001094,-0.1371,panic
18,1623705.304263,0.001043,-0.063,panic
19,2645922.646788,0.000942,0.8855,panic
20,2770884.211723,0.001028,-0.5176,panic
21,53710.814324,0.00089,0.4804,panic
22,1206231.957524,0.000833,0.5286,panic
23,112808.618564,0.000866,0.6424,panic
24,811493.983134,0.00086,0.7572,panic
25,7654.358611,0.00085,0.7807,panic
26,3509141.978472,0.000915,0.5586,panic
27,39649.544799,0.001055,-0.0723,panic
28,70991.023049,0.001158,-0.2183,panic
29,1036023.760503,0.001148,-0.2478,panic
30,4216936.898275,0.001044,-0.1706,panic
31,607281.387058,0.00095,-0.4469,panic
32,4487.10197,0.000971,-0.0069,panic
33,27400.887889,0.001085,-0.0473,panic
34,2560394.313488,0.00113,0.2651,panic
35,197147.966801,0.001179,0.088,panic
36,587781.559686,0.001163,0.2499,panic
37,3986890.061497,0.001135,0.3043,panic
38,1472223.386265,0.001197,-0.0445,panic
39,7214814.014141,0.001541,0.7794,panic
40,164461.071293,0.001476,0.4399,panic
41,5772529.846832,0.001202,0.2298,panic
42,1703284.996563,0.00108,0.2264,panic
43,2261048.814931,0.001009,0.3162,panic
44,3330846.62711,0.000933,0.2569,panic
45,1160384.575335,0.000807,-0.1153,panic
46,1995179.393039,0.000792,0.706,panic
47,589774.697945,0.000749,0.4863,panic
48,70372.088564,0.000748,0.7823,panic
49,16625.706728,0.000653,0.9145,panic
50,2446259.375986,0.00065,0.0248,panic
51,1327264.134018,0.000596,-0.0847,panic
52,948.44,0.000574,-0.162,panic
53,639163.778103,0.000605,-0.1255,panic
54,1536305.359332,0.000805,0.3875,panic
55,1581394.323985,0.000721,0.4968,panic
56,3765864.163976,0.000721,0.5765,panic
57,2066383.936148,0.000711,0.6115,panic
58,94571.210389,0.00065,0.4838,panic
59,1747428.083998,0.00065,0.2988,panic
60,2302.853055,0.00065,0.7448,panic
61,3582699.251359,0.000644,0.4786,panic
62,0.0,0.000557,0.4204,panic
63,8108.562104,0.00055,0.4349,panic
64,2272481.235274,0.00054,0.2926,panic
65,2376975.369556,0.000448,-0.0839,panic
66,17901.367345,0.000527,0.2431,panic
67,110286.222371,0.00045,-0.3187,panic
68,12068.609266,0.00045,-0.0313,panic
69,552616.689727,0.00041,0.2383,panic
70,333960.0,0.000408,-0.1782,panic
71,1518451.646312,0.000422,-0.4918,panic
72,527368.476562,0.000407,-0.4161,recovery
73,998.3051,0.000359,0.2277,recovery
74,2293.612193,0.000402,0.6865,recovery
75,1435.746545,0.000382,0.7229,recovery
76,980.774352,0.000354,0.75,recovery
77,22041.567944,0.00035,0.6014,recovery
78,417204.976178,0.00035,-0.3947,recovery
79,0.431327,0.000372,-0.4508,recovery
80,187067.4486,0.000348,-0.5171,recovery
81,100000.0,0.000351,-0.457,recovery
82,0.0,0.00035,-0.3788,recovery
83,1318025.57371,0.00035,-0.3209,recovery
84,1079236.431735,0.00035,-0.3611,recovery
85,142.921386,0.000349,0.2034,recovery
86,150385.182452,0.000347,0.2428,recovery
87,1023830.48183,0.000265,-0.3297,recovery
88,1044814.82,0.000299,-0.3307,recovery
89,81208.592257,0.000267,-0.2011,recovery
90,2937.481427,0.000255,-0.2413,recovery
91,23480.261868,0.00025,0.1258,recovery
92,3631653.083008,0.000229,-0.441,recovery
93,620114.2956,0.000235,-0.3641,recovery
94,1022806.318896,0.000176,-0.3578,recovery
95,0.0,0.000236,-0.2778,recovery
97,440204.050865,0.000249,-0.2225,recovery
98,402115.111081,0.00025,-0.1863,recovery
99,7492256.776308,0.000247,0.179,recovery
100,5826663.664673,0.00025,0.2866,recovery
101,20000.0,0.00025,0.2358,recovery
102,569293.768764,0.000251,-0.658,recovery
103,263884.719451,0.00035,-0.3388,recovery
104,73944.0,0.000417,-0.5008,recovery
105,182081.100514,0.000351,-0.4506,recovery
106,647188.835663,0.00043,0.1339,recovery
107,484976.861957,0.00035,-0.239,recovery
