h,abs_flow,abs_basis,rolling_arb_r,phase
-408,108942.52774,0.00015,-0.3066,pre
-407,1308020.223533,0.00015,-0.2568,pre
-406,195357.0,0.00015,0.3215,pre
-405,956936.479594,0.000151,0.4356,pre
-404,67097.45226,0.000151,0.0553,pre
-403,277.036686,0.00015,0.1019,pre
-402,8374.0,0.00015,0.1224,pre
-401,1219.773012,0.00015,0.6329,pre
-396,117359.860149,0.000284,-0.0917,pre
-395,1010767.088357,0.00025,0.5689,pre
-394,29995.062096,0.00025,0.4373,pre
-393,8742.620394,0.00025,0.3077,pre
-392,4566669.367618,0.000349,0.727,pre
-391,161689.377429,0.000253,0.9054,pre
-390,128511.086948,0.00025,0.9768,pre
-389,99.969121,0.000186,0.8776,pre
-388,119999.000309,0.00015,0.7889,pre
-387,206751.509924,0.00015,0.8039,pre
-386,10035.0,0.00015,0.2196,pre
-385,1099724.297436,0.00015,-0.2664,pre
-384,29984.911403,0.00015,-0.2807,pre
-383,666825.994128,0.00015,,pre
-382,1185086.677823,0.00015,,pre
-381,114049.0,0.00015,,pre
-380,218910.517577,0.00015,,pre
-379,33030.677006,0.000175,-0.3618,pre
-378,30649.0,0.000279,-0.4435,pre
-377,32200.935973,0.000231,-0.4537,pre
-376,37994.670364,0.00015,-0.5278,pre
-375,923.044687,0.00015,-0.3007,pre
-374,10873.411892,0.00015,0.4205,pre
-373,61968.315422,0.00015,0.0746,pre
-372,20043.447692,0.00015,0.1098,pre
-371,0.0,0.00015,,pre
-370,59969.133847,0.00015,,pre
-369,154069.518628,0.00015,,pre
-368,9401408.962843,7.6e-05,-0.9999,pre
-367,81933.0,5e-05,-0.4859,pre
-366,24592.107536,5e-05,-0.2716,pre
-365,5000.0,5e-05,-0.1083,pre
-364,418783.653247,5e-05,0.0617,pre
-363,0.0,5e-05,0.9991,pre
-362,29432.496636,5e-05,,pre
-361,105000.0,5e-05,,pre
-360,0.0,5e-05,,pre
-358,1653662.0716,5e-05,,pre
-357,1000.0,5.2e-05,-0.2188,pre
-356,505044.456799,5.3e-05,-0.0911,pre
-355,315030.82118,5.3e-05,-0.1966,pre
-354,5540.261087,0.00015,-0.3216,pre
-353,90003.092359,0.00015,-0.481,pre
-351,0.0,0.00015,-0.6234,pre
-350,0.0,0.00015,-0.9463,pre
-349,4717.959191,0.00015,-0.9602,pre
-347,0.0,0.00015,,pre
-346,64857.530425,0.00015,,pre
-344,258775.80735,0.00015,,pre
-343,5000.0,0.00015,,pre
-339,0.0,0.000152,-0.2651,pre
-338,174056.8302,0.000151,-0.1695,pre
-337,10587.201626,0.000149,-0.0137,pre
-336,2590.939367,0.000151,-0.1006,pre
-335,30.0,0.00015,0.1914,pre
-334,0.0,0.000152,0.0244,pre
-333,72320.095259,0.000151,0.181,pre
-332,149989.0,0.000153,0.7415,pre
-331,36673.28305,0.000151,0.7789,pre
-330,0.0,0.000151,0.7772,pre
-329,167000.0,0.00015,0.1389,pre
-328,93.0,0.00015,0.3939,pre
-327,100001.36731,0.000151,0.3803,pre
-325,2955899.548734,0.00025,0.9983,pre
-324,25320.186875,0.00025,0.6205,pre
-323,80100.0,0.000333,0.2224,pre
-322,1707.455453,0.000266,0.1167,pre
-321,101050.788861,0.00025,-0.0093,pre
-320,94084.98,0.00025,-0.2392,pre
-319,2861026.656185,0.00025,-0.239,pre
-318,40071.137209,0.00025,-0.2406,pre
-316,0.0,0.00025,-0.2193,pre
-315,10318.624758,0.00025,,pre
-314,14053.601821,0.000249,0.2074,pre
-312,1519097.117503,0.00025,0.2966,pre
-310,8284.418896,0.00025,0.2003,pre
-309,0.0,0.000206,0.2096,pre
-306,540000.0,0.00015,-0.0275,pre
-305,10000.0,0.000218,0.0626,pre
-304,0.0,0.00025,0.0565,pre
-303,68000.0,0.000189,-0.8196,pre
-302,2000.0,0.000151,-0.5663,pre
-301,288000.0,0.00015,-0.6043,pre
-300,4303905.828416,0.00015,-0.4331,pre
-299,1868754.238348,0.00015,-0.4252,pre
-298,385758.628283,0.00015,-0.3229,pre
-297,48858.553634,0.00015,-0.3322,pre
-296,999.8241,0.00015,,pre
-295,13444717.021158,0.00015,,pre
-294,2599520.311322,0.00015,,pre
-293,544850.566126,0.00015,,pre
-292,39093.01005,0.000112,0.2524,pre
-291,1000.0,5.1e-05,0.3531,pre
-290,5462.731104,5.1e-05,0.5057,pre
-289,837480.998713,5.1e-05,0.5653,pre
-288,514800.083716,5e-05,0.0578,pre
-287,72620.930204,5.2e-05,-0.2966,pre
-286,387030.304357,5e-05,-0.4139,pre
-285,730569.667923,5e-05,-0.514,pre
-284,121634.799162,5.1e-05,-0.5272,pre
-283,51742.099154,5e-05,-0.5805,pre
-282,517.399506,5e-05,-0.3526,pre
-281,64059.855661,5e-05,-0.1809,pre
-280,54742.151556,5e-05,-0.0865,pre
-279,485352.372095,5e-05,-0.0221,pre
-278,77822.160293,5e-05,,pre
-277,492.9542,5e-05,,pre
-276,63300.11012,5e-05,,pre
-275,19371.097678,5e-05,,pre
-274,519006.936863,5e-05,,pre
-273,89813.607233,5e-05,,pre
-272,12383607.526766,5e-05,,pre
-271,410328.845549,5e-05,,pre
-270,482293.547045,5e-05,,pre
-269,270578.093767,5.1e-05,-0.2083,pre
-268,29496.253601,5e-05,-0.1985,pre
-267,0.0,5e-05,-0.1967,pre
-266,103359.940422,4.9e-05,0.2607,pre
-265,0.0,5e-05,0.2744,pre
-264,74995.867521,5e-05,0.518,pre
-263,227520.278432,5e-05,-0.1763,pre
-262,12105.223073,5e-05,-0.1877,pre
-261,105000.0,5e-05,-0.0967,pre
-260,48011.8993,4.7e-05,0.1767,pre
-259,0.0,5e-05,0.1767,pre
-258,409514.103678,4.8e-05,-0.1575,pre
-257,1644900.015448,5e-05,0.2247,pre
-256,53032.118488,5e-05,0.2339,pre
-253,250051.650021,5e-05,0.2649,pre
-252,187169.020722,5e-05,0.0111,pre
-251,1773.071931,5e-05,0.0109,pre
-250,168133.775304,5e-05,-0.5767,pre
-249,306648.858469,5e-05,0.4579,pre
-248,296384.686725,5e-05,,pre
-247,5933980.495542,5e-05,,pre
-246,35238.112622,5e-05,,pre
-245,1377518.902348,5e-05,,pre
-244,134810.0,5e-05,,pre
-243,412872.85182,5e-05,,pre
-242,0.0,5e-05,,pre
-240,18846.91465,5e-05,,pre
-239,398991.7724,5e-05,,pre
-238,579500.0,5e-05,,pre
-237,49892.126063,5e-05,,pre
-236,50500.0,5e-05,,pre
-234,250500.0,5e-05,,pre
-233,420438.505691,5e-05,,pre
-232,3600.098461,5e-05,,pre
-231,28159.477458,5e-05,,pre
-230,200000.0,5e-05,,pre
-229,250960.0,5e-05,,pre
-227,1405510.152381,6.4e-05,0.9561,pre
-226,80304.395125,0.00015,-0.0885,pre
-225,480429.511927,6.8e-05,-0.1727,pre
-224,10924309.737846,5e-05,-0.3063,pre
-223,129977.544003,6.9e-05,-0.3646,pre
-222,322025.153087,0.00015,-0.4979,pre
-221,182367.228105,0.00015,-0.5764,pre
-220,284543.016147,0.000138,-0.5733,pre
-219,50000.0,5e-05,-0.4868,pre
-218,9963.217039,4.9e-05,0.8982,pre
-217,11642.74153,5e-05,0.9286,pre
-216,80000.0,5e-05,0.8987,pre
-215,122253.03074,4.9e-05,0.9094,pre
-214,113175.927813,0.000125,0.4857,pre
-213,91567.93914,0.00015,0.4535,pre
-212,9903.338573,0.00015,-0.0831,pre
-210,0.0,5e-05,-0.0386,pre
-209,200000.0,5e-05,-0.3122,pre
