event_id,node_id,layer,tier_nominal,tier_actual,rows_available,artefact_count,stages,sources,missing
ftx_2022,busd_binance,CEX,A,B,86400,2,bronze;silver,real_Binance_tier_B;silver_reconstruction_from_books,false
ftx_2022,usdt_binance,CEX,A,B,86400,2,bronze;silver,real_Binance_tier_B;silver_reconstruction_from_books,false
ftx_2022,curve_3pool,DEX,A,fixture_non_empirical,1728,2,bronze;silver,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,false
ftx_2022,eth_bridge_flows,bridge_flow,B,fixture_non_empirical,144,2,bronze;silver,deterministic_pipeline_fixture;silver_reconstruction_from_flows,false
ftx_2022,eth_usdc_exchange_flows,onchain_flow,B,fixture_non_empirical,144,2,bronze;silver,deterministic_pipeline_fixture;silver_reconstruction_from_flows,false
ftx_2022,eth_usdt_exchange_flows,onchain_flow,B,fixture_non_empirical,144,2,bronze;silver,deterministic_pipeline_fixture;silver_reconstruction_from_flows,false
