1654992000000,1.00120000,1.00120000,1.00110000,1.00120000,99395.00000000,1654992059999,99511.55990000,101,72254.00000000,72340.70480000,0
1654992060000,1.00120000,1.00120000,1.00110000,1.00120000,720304.00000000,1654992119999,721097.82620000,59,14918.00000000,14935.90160000,0
1654992120000,1.00120000,1.00120000,1.00110000,1.00110000,63342.00000000,1654992179999,63417.11730000,75,54411.00000000,54476.29320000,0
1654992180000,1.00120000,1.00120000,1.00110000,1.00120000,61836.00000000,1654992239999,61909.36690000,63,53473.00000000,53537.16760000,0
1654992240000,1.00120000,1.00120000,1.00110000,1.00120000,61902.00000000,1654992299999,61974.48400000,67,43918.00000000,43970.70160000,0
1654992300000,1.00120000,1.00120000,1.00110000,1.00110000,32394.00000000,1654992359999,32432.41730000,45,27839.00000000,27872.40680000,0
1654992360000,1.00120000,1.00120000,1.00110000,1.00120000,84654.00000000,1654992419999,84755.08390000,98,79645.00000000,79740.57400000,0
1654992420000,1.00120000,1.00120000,1.00110000,1.00120000,66201.00000000,1654992479999,66280.38990000,61,65688.00000000,65766.82560000,0
1654992480000,1.00120000,1.00120000,1.00110000,1.00120000,558386.00000000,1654992539999,559055.94210000,84,557175.00000000,557843.61000000,0
1654992540000,1.00120000,1.00120000,1.00110000,1.00120000,76844.00000000,1654992599999,76932.76420000,68,42358.00000000,42408.82960000,0
1654992600000,1.00120000,1.00120000,1.00110000,1.00120000,104730.00000000,1654992659999,104852.16840000,38,69654.00000000,69737.58480000,0
1654992660000,1.00120000,1.00120000,1.00110000,1.00110000,52035.00000000,1654992719999,52096.95530000,63,47168.00000000,47224.60160000,0
1654992720000,1.00110000,1.00120000,1.00110000,1.00110000,532202.00000000,1654992779999,532839.11910000,92,516969.00000000,517589.36280000,0
1654992780000,1.00120000,1.00120000,1.00110000,1.00120000,25437.00000000,1654992839999,25467.32320000,47,23425.00000000,23453.11000000,0
1654992840000,1.00120000,1.00120000,1.00110000,1.00110000,39066.00000000,1654992899999,39112.70580000,59,37332.00000000,37376.79840000,0
1654992900000,1.00120000,1.00120000,1.00110000,1.00120000,37795.00000000,1654992959999,37839.41690000,52,28424.00000000,28458.10880000,0
1654992960000,1.00120000,1.00120000,1.00110000,1.00120000,497202.00000000,1654993019999,497798.62370000,32,497015.00000000,497611.41800000,0
1654993020000,1.00120000,1.00120000,1.00110000,1.00120000,104818.00000000,1654993079999,104942.49430000,54,91945.00000000,92055.33400000,0
1654993080000,1.00110000,1.00120000,1.00110000,1.00120000,61900.00000000,1654993139999,61973.67790000,47,55879.00000000,55946.05480000,0
1654993140000,1.00110000,1.00120000,1.00110000,1.00110000,57377.00000000,1654993199999,57443.50180000,61,33871.00000000,33911.64520000,0
1654993200000,1.00120000,1.00120000,1.00110000,1.00120000,513370.00000000,1654993259999,513985.95710000,71,512501.00000000,513116.00120000,0
1654993260000,1.00120000,1.00120000,1.00110000,1.00120000,85104.00000000,1654993319999,85203.67640000,58,60620.00000000,60692.74400000,0
1654993320000,1.00120000,1.00120000,1.00110000,1.00120000,141993.00000000,1654993379999,142153.31070000,70,41184.00000000,41233.42080000,0
1654993380000,1.00110000,1.00120000,1.00110000,1.00120000,17906.00000000,1654993439999,17926.83160000,33,11350.00000000,11363.62000000,0
1654993440000,1.00120000,1.00120000,1.00110000,1.00110000,38092.00000000,1654993499999,38135.16480000,30,12636.00000000,12651.16320000,0
1654993500000,1.00120000,1.00120000,1.00110000,1.00120000,100542.00000000,1654993559999,100656.81920000,87,42230.00000000,42280.67600000,0
1654993560000,1.00120000,1.00120000,1.00110000,1.00120000,19085.00000000,1654993619999,19107.74500000,42,17515.00000000,17536.01800000,0
1654993620000,1.00120000,1.00120000,1.00110000,1.00120000,20054.00000000,1654993679999,20077.09930000,23,10399.00000000,10411.47880000,0
1654993680000,1.00120000,1.00120000,1.00110000,1.00110000,92320.00000000,1654993739999,92429.78710000,28,82351.00000000,82449.82120000,0
1654993740000,1.00110000,1.00120000,1.00110000,1.00120000,378405.00000000,1654993799999,378857.58440000,34,363389.00000000,363825.06680000,0
1654993800000,1.00120000,1.00120000,1.00110000,1.00110000,111935.00000000,1654993859999,112058.96850000,60,8400.00000000,8410.08000000,0
1654993860000,1.00120000,1.00120000,1.00110000,1.00120000,33092.00000000,1654993919999,33129.48890000,33,10877.00000000,10890.05240000,0
1654993920000,1.00110000,1.00120000,1.00110000,1.00120000,33440.00000000,1654993979999,33479.78840000,39,30044.00000000,30080.05280000,0
1654993980000,1.00120000,1.00120000,1.00110000,1.00120000,44252.00000000,1654994039999,44303.51530000,36,28381.00000000,28415.05720000,0
1654994040000,1.00110000,1.00120000,1.00110000,1.00120000,40040.00000000,1654994099999,40087.94080000,22,38968.00000000,39014.76160000,0
1654994100000,1.00120000,1.00120000,1.00110000,1.00120000,45622.00000000,1654994159999,45676.46100000,36,42768.00000000,42819.32160000,0
1654994160000,1.00120000,1.00120000,1.00110000,1.00120000,23028.00000000,1654994219999,23054.53480000,26,12040.00000000,12054.44800000,0
1654994220000,1.00120000,1.00120000,1.00110000,1.00110000,8753.00000000,1654994279999,8763.42700000,20,7987.00000000,7996.58440000,0
1654994280000,1.00120000,1.00120000,1.00110000,1.00110000,13086.00000000,1654994339999,13101.25220000,18,8576.00000000,8586.29120000,0
1654994340000,1.00120000,1.00120000,1.00110000,1.00120000,20598.00000000,1654994399999,20622.29410000,35,16363.00000000,16382.63560000,0
1654994400000,1.00120000,1.00120000,1.00110000,1.00120000,22243.00000000,1654994459999,22268.58680000,26,11195.00000000,11208.43400000,0
1654994460000,1.00110000,1.00120000,1.00110000,1.00120000,11414.00000000,1654994519999,11427.50260000,35,9472.00000000,9483.36640000,0
