event_id,ll_sig,ll_total,te_sig,te_total,granger_sig,granger_total,event_study_sig,event_study_total
usdc_svb_2023,8,8,3,6,4,6,1,4
terra_luna_2022,0,0,0,6,1,12,3,4
usdt_curve_2023,2,2,0,1,1,6,3,3
ftx_2022,4,4,2,5,5,6,3,3
busd_2023,8,8,0,9,1,6,2,4
