caused_node,causing_node,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows,method,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason
usdt_binance,busd_binance,0.9882789756054834,0.9999283835595811,0.01666983318401502,23,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
busd_binance,usdt_binance,0.02462891311438811,0.12631649456168365,0.033568267065761825,23,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
