causing_node,caused_node,f_stat,p_value,significant_p05,p_value_fdr,significant_fdr,p_bonferroni,significant_bonferroni,feature_col,bucket_seconds,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,feature_tier,provenance_claim_allowed,claim_allowed,claim_level,claim_language,claim_reason,claim_sentence,statistical_claim_allowed,paper_claim_allowed,claim_strength,window_start_override,window_end_override,sub_window
busd_binance,usdt_binance,7.270794967530828,0.00007698224249901546,true,0.00007698224249901546,true,0.00015396448499803092,true,basis_vs_usd,3600,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,true,true,statistically_supported,,, [full]
usdt_binance,busd_binance,11.22814017882385,2.7801429944281153e-7,true,5.560285988856231e-7,true,5.560285988856231e-7,true,basis_vs_usd,3600,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,true,true,statistically_supported,,, [full]
